,customer_code,customer_type,site_name,connection_date,cohort
0,0169GBO,HH1,Gbowele,2025-11-29 19:30:00,before_dec2025
1,0081GBO,HH1,Gbowele,2025-09-29 00:00:00,before_dec2025
2,0004GBO,HH1,Gbowele,2024-10-14 09:45:00,before_dec2025
3,0013GBO,HH3,Gbowele,2024-10-14 09:45:00,before_dec2025
4,0082GBO,HH1,Gbowele,2025-12-01 16:45:00,after_dec2025
5,0027GBO,HH1,Gbowele,2024-10-14 20:00:00,before_dec2025
6,0173GBO,HH1,Gbowele,2025-12-05 19:00:00,after_dec2025
7,0085GBO,HH1,Gbowele,2024-11-23 15:30:00,before_dec2025
8,0033GBO,HH1,Gbowele,2024-10-16 09:00:00,before_dec2025
9,0039GBO,HH1,Gbowele,2024-10-18 14:15:00,before_dec2025
10,0014GBO,HH3,Gbowele,2024-10-14 20:00:00,before_dec2025
11,0186GBO,HH1,Gbowele,2025-12-08 10:30:00,after_dec2025
12,0176GBO,HH3,Gbowele,2025-12-05 19:00:00,after_dec2025
13,0023GBO,HH1,Gbowele,2024-12-02 07:15:00,before_dec2025
14,0080GBO,HH1,Gbowele,2025-09-27 20:45:00,before_dec2025
15,0035GBO,HH1,Gbowele,2024-10-14 10:15:00,before_dec2025
16,0149GBO,HH1,Gbowele,2024-11-23 17:45:00,before_dec2025
17,0200GBO,HH1,Gbowele,2025-12-19 00:15:00,after_dec2025
18,0017GBO,HH1,Gbowele,2025-09-27 20:45:00,before_dec2025
19,0007GBO,HH1,Gbowele,2024-11-23 18:00:00,before_dec2025
20,0172GBO,HH3,Gbowele,2025-12-05 19:00:00,after_dec2025
21,0127GBO,HH1,Gbowele,2025-11-29 18:45:00,before_dec2025
22,0034GBO,HH3,Gbowele,2024-10-14 18:00:00,before_dec2025
23,0012GBO,HH2,Gbowele,2024-10-14 20:00:00,before_dec2025
24,0151GBO,HH1,Gbowele,2024-11-29 14:45:00,before_dec2025
25,0043GBO,HH1,Gbowele,2025-11-29 20:45:00,before_dec2025
26,0072GBO,HH1,Gbowele,2025-12-01 16:45:00,after_dec2025
27,0019GBO,HH1,Gbowele,2024-10-14 09:45:00,before_dec2025
28,0121GBO,HH1,Gbowele,2024-11-23 21:00:00,before_dec2025
29,0036GBO,HH1,Gbowele,2024-10-14 10:00:00,before_dec2025
30,0184GBO,HH1,Gbowele,2025-12-08 10:15:00,after_dec2025
31,0152GBO,HH1,Gbowele,2024-11-29 16:15:00,before_dec2025
32,0032GBO,HH1,Gbowele,2024-10-14 11:30:00,before_dec2025
33,0038GBO,HH1,Gbowele,2024-10-15 17:00:00,before_dec2025
34,0057GBO,HH1,Gbowele,2024-11-25 11:15:00,before_dec2025
35,0155GBO,HH1,Gbowele,2025-04-29 11:00:00,before_dec2025
36,0170GBO,HH3,Gbowele,2025-11-30 10:00:00,before_dec2025
