customer_type,maturity,cluster,p_empirical,p_prior,p_posterior,n_observations,shrinkage_weight
HH1,0-3,0,0.1686955580803982,0.1682327069172331,0.16867270123283454,385,0.9506172839506173
HH1,0-3,1,0.47574798463452905,0.4719445555111289,0.4755601609741143,385,0.9506172839506173
HH1,0-3,2,0.19865552128983388,0.20551779288284686,0.1989943988993654,385,0.9506172839506173
HH1,0-3,3,0.007682735486663421,0.006797281087564975,0.007639009343498066,385,0.9506172839506173
HH1,0-3,inactive,0.13906021749715955,0.13867786218845796,0.13904133575352,385,0.9506172839506173
HH1,0-3,outlier,0.010157983011415895,0.008829801412768226,0.010092393796667863,385,0.9506172839506173
HH2,0-3,0,0.1111111111111111,0.1682327069172331,0.1505053151153332,9,0.3103448275862069
HH2,0-3,1,0.1111111111111111,0.4719445555111289,0.35996176242146827,9,0.3103448275862069
HH2,0-3,2,0.4444444444444444,0.20551779288284686,0.2796674433674806,9,0.3103448275862069
HH2,0-3,3,0.0,0.006797281087564975,0.0046877800603896385,9,0.3103448275862069
HH2,0-3,inactive,0.3333333333333333,0.13867786218845796,0.19908818081962618,9,0.3103448275862069
HH2,0-3,outlier,0.0,0.008829801412768226,0.0060895182157022255,9,0.3103448275862069
HH3,0-3,0,0.11428571428571428,0.1682327069172331,0.1339028025153575,35,0.6363636363636364
HH3,0-3,1,0.5714285714285714,0.4719445555111289,0.5352525656404105,35,0.6363636363636364
HH3,0-3,2,0.2,0.20551779288284686,0.20200647013921708,35,0.6363636363636364
HH3,0-3,3,0.0,0.006797281087564975,0.0024717385772963546,35,0.6363636363636364
HH3,0-3,inactive,0.11428571428571428,0.13867786218845796,0.12315558625034834,35,0.6363636363636364
HH3,0-3,outlier,0.0,0.008829801412768226,0.003210836877370264,35,0.6363636363636364
HH1,4-6,0,0.17246984035252474,0.1863999536822603,0.17355813045641033,236,0.921875
HH1,4-6,1,0.5108358014881168,0.5250694766095414,0.5119478073569781,236,0.921875
HH1,4-6,2,0.25771147872570976,0.24047591477535896,0.2563649502920886,236,0.921875
